18000,96,1,50,60
N___,6944,1/,,,
N___,7218,1/,,,
N___,7596,1/,,,
N___,8018,1/,,,
N___,8412,1/,,,
N___,8801,1/,,,
N___,9197,1/,,,
N___,9619,1/,,,
N___,10002,1/,,,
N___,10371,1/,,,
N___,10788,1/,,,
N___,11220,1/,,,
N___,11593,1/,,,
N___,11996,1/,,,
N___,12391,1/,,,
N___,12795,1/,,,
N___,13190,1/,,,
N___,13613,1/,,,
N___,13996,1/,,,
N___,14391,1/,,,
N___,14769,1/,,,
N___,15172,1/,,,
N___,15560,1/,,,
N___,15958,1/,,,
N___,16372,1/,,,
N___,16769,1/,,,
N___,17167,1/,,,
N___,17573,1/,,,
N___,17968,1/,,,
